estado_abrev,regional_id,regional_nome,municipio_id_sdv,ano
RO,11001,Vale do Jamari,110002,
RO,11001,Vale do Jamari,110013,
RO,11001,Vale do Jamari,110026,
RO,11001,Vale do Jamari,110040,
RO,11001,Vale do Jamari,110045,
RO,11001,Vale do Jamari,110060,
RO,11001,Vale do Jamari,110070,
RO,11001,Vale do Jamari,110094,
RO,11001,Vale do Jamari,110140,
RO,11002,Café,110004,
RO,11002,Café,110009,
RO,11002,Café,110018,
RO,11002,Café,110120,
RO,11002,Café,110147,
RO,11002,Café,110148,
RO,11003,Central,110011,
RO,11003,Central,110012,
RO,11003,Central,110015,
RO,11003,Central,110025,
RO,11003,Central,110032,
RO,11003,Central,110034,
RO,11003,Central,110100,
RO,11003,Central,110130,
RO,11003,Central,110143,
RO,11003,Central,110155,
RO,11003,Central,110160,
RO,11003,Central,110170,
RO,11003,Central,110175,
RO,11003,Central,110180,
RO,11004,Madeira-Mamoré,110010,
RO,11004,Madeira-Mamoré,110020,
RO,11004,Madeira-Mamoré,110033,
RO,11004,Madeira-Mamoré,110080,
RO,11004,Madeira-Mamoré,110110,
RO,11005,Zona da Mata,110001,
RO,11005,Zona da Mata,110014,
RO,11005,Zona da Mata,110028,
RO,11005,Zona da Mata,110029,
RO,11005,Zona da Mata,110037,
RO,11005,Zona da Mata,110050,
RO,11005,Zona da Mata,110090,
RO,11005,Zona da Mata,110145,
RO,11006,Cone Sul,110003,
RO,11006,Cone Sul,110005,
RO,11006,Cone Sul,110006,
RO,11006,Cone Sul,110007,
RO,11006,Cone Sul,110030,
RO,11006,Cone Sul,110092,
RO,11006,Cone Sul,110146,
RO,11007,Vale do Guaporé,110008,
RO,11007,Vale do Guaporé,110149,
RO,11007,Vale do Guaporé,110150,
AC,12001,Alto Acre,120005,
AC,12001,Alto Acre,120010,
AC,12001,Alto Acre,120025,
AC,12001,Alto Acre,120070,
AC,12002,Baixo Acre e Purus,120001,
AC,12002,Baixo Acre e Purus,120013,
AC,12002,Baixo Acre e Purus,120017,
AC,12002,Baixo Acre e Purus,120032,
AC,12002,Baixo Acre e Purus,120034,
AC,12002,Baixo Acre e Purus,120038,
AC,12002,Baixo Acre e Purus,120040,
AC,12002,Baixo Acre e Purus,120043,
AC,12002,Baixo Acre e Purus,120045,
AC,12002,Baixo Acre e Purus,120050,
AC,12002,Baixo Acre e Purus,120080,
AC,12003,Juruá e Tarauacá/Envira,120020,
AC,12003,Juruá e Tarauacá/Envira,120030,
AC,12003,Juruá e Tarauacá/Envira,120033,
AC,12003,Juruá e Tarauacá/Envira,120035,
AC,12003,Juruá e Tarauacá/Envira,120039,
AC,12003,Juruá e Tarauacá/Envira,120042,
AC,12003,Juruá e Tarauacá/Envira,120060,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130030,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130040,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130110,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130115,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130185,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130255,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130260,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130310,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130353,
AM,13001,"Manaus, Entorno e Alto Rio Negro",130356,
