UF,codigo_municipio,municipio,baixo_peso,eutrofico,sobrepeso,obesidade_G_1,obesidade_G_2,obesidade_G_3,magreza_acentuada,magreza,obesidade,obesidade_grave,total,SEXO,ANO,fase_vida
AC,120001,ACRELANDIA,0,0,2,0,0,0,0,0,0,0,4,Masc,2008,adolescente
AC,120005,ASSIS BRASIL,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120010,BRASILEIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120013,BUJARI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120017,CAPIXABA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120020,CRUZEIRO DO SUL,0,0,0,0,0,0,0,0,0,0,2,Masc,2008,adolescente
AC,120025,EPITACIOLANDIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120030,FEIJO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120032,JORDAO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120033,MANCIO LIMA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120034,MANOEL URBANO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120035,MARECHAL THAUMATURGO,0,0,2,0,0,0,0,0,0,0,6,Masc,2008,adolescente
AC,120038,PLACIDO DE CASTRO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120080,PORTO ACRE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120039,PORTO WALTER,0,0,2,0,0,0,0,0,0,0,6,Masc,2008,adolescente
AC,120040,RIO BRANCO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120042,RODRIGUES ALVES,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120043,SANTA ROSA DO PURUS,0,0,0,0,0,0,0,0,0,0,2,Masc,2008,adolescente
AC,120050,SENA MADUREIRA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120045,SENADOR GUIOMARD,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120060,TARAUACA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AC,120070,XAPURI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270010,AGUA BRANCA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270020,ANADIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270030,ARAPIRACA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270040,ATALAIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270050,BARRA DE SANTO ANTONIO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270060,BARRA DE SAO MIGUEL,0,0,0,0,0,0,0,0,0,0,6,Masc,2008,adolescente
AL,270070,BATALHA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270080,BELEM,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270090,BELO MONTE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270100,BOCA DA MATA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270110,BRANQUINHA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270120,CACIMBINHAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270130,CAJUEIRO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270135,CAMPESTRE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270140,CAMPO ALEGRE,0,0,0,0,0,0,0,0,0,0,2,Masc,2008,adolescente
AL,270150,CAMPO GRANDE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270160,CANAPI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270170,CAPELA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270180,CARNEIROS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270190,CHA PRETA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270200,COITE DO NOIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270210,COLONIA LEOPOLDINA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270220,COQUEIRO SECO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270230,CORURIPE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270235,CRAIBAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270240,DELMIRO GOUVEIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270250,DOIS RIACHOS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270255,ESTRELA DE ALAGOAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270260,FEIRA GRANDE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270270,FELIZ DESERTO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270280,FLEXEIRAS,0,0,0,0,0,0,0,4,0,0,22,Masc,2008,adolescente
AL,270290,GIRAU DO PONCIANO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270300,IBATEGUARA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270310,IGACI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270320,IGREJA NOVA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270330,INHAPI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270340,JACARE DOS HOMENS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270350,JACUIPE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270360,JAPARATINGA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270370,JARAMATAIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270375,JEQUIA DA PRAIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270380,JOAQUIM GOMES,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270390,JUNDIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270400,JUNQUEIRO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270410,LAGOA DA CANOA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270420,LIMOEIRO DE ANADIA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270430,MACEIO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270440,MAJOR ISIDORO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270490,MAR VERMELHO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270450,MARAGOGI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270460,MARAVILHA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270470,MARECHAL DEODORO,0,0,0,0,0,0,0,0,0,0,2,Masc,2008,adolescente
AL,270480,MARIBONDO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270500,MATA GRANDE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270510,MATRIZ DE CAMARAGIBE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270520,MESSIAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270530,MINADOR DO NEGRAO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270540,MONTEIROPOLIS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270550,MURICI,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270560,NOVO LINO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270570,OLHO D'AGUA DAS FLORES,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270580,OLHO D'AGUA DO CASADO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270590,OLHO D'AGUA GRANDE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270600,OLIVENCA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270610,OURO BRANCO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270620,PALESTINA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270630,PALMEIRA DOS INDIOS,0,0,2,0,0,0,0,6,0,0,46,Masc,2008,adolescente
AL,270640,PAO DE ACUCAR,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270642,PARICONHA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270644,PARIPUEIRA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270650,PASSO DE CAMARAGIBE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270660,PAULO JACINTO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270670,PENEDO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270680,PIACABUCU,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270690,PILAR,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270700,PINDOBA,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270710,PIRANHAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270720,POCO DAS TRINCHEIRAS,0,0,32,0,0,0,8,26,20,8,346,Masc,2008,adolescente
AL,270730,PORTO CALVO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270740,PORTO DE PEDRAS,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270750,PORTO REAL DO COLEGIO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270760,QUEBRANGULO,0,0,12,0,0,0,4,14,8,0,162,Masc,2008,adolescente
AL,270770,RIO LARGO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270780,ROTEIRO,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
AL,270790,SANTA LUZIA DO NORTE,0,0,0,0,0,0,0,0,0,0,0,Masc,2008,adolescente
