estado_abrev,regional_nome,municipio,municipio_id_sdv
AC,Acre,Acrelândia,120001
AC,Acre,Bujari,120013
AC,Acre,Capixaba,120017
AC,Acre,Manoel Urbano,120034
AC,Acre,Plácido de Castro,120038
AC,Acre,Porto Acre,120080
AC,Acre,Rio Branco,120040
AC,Acre,Santa Rosa do Purus,120043
AC,Acre,Sena Madureira,120050
AC,Acre,Senador Guiomard,120045
AC,Brasiléia,Assis Brasil,120005
AC,Brasiléia,Brasiléia,120010
AC,Brasiléia,Epitaciolândia,120025
AC,Brasiléia,Xapuri,120070
AC,Cruzeiro do Sul,Cruzeiro do Sul,120020
AC,Cruzeiro do Sul,Feijó,120030
AC,Cruzeiro do Sul,Jordão,120032
AC,Cruzeiro do Sul,Mâncio Lima,120033
AC,Cruzeiro do Sul,Marechal Thaumaturgo,120035
AC,Cruzeiro do Sul,Porto Walter,120039
AC,Cruzeiro do Sul,Rodrigues Alves,120042
AC,Cruzeiro do Sul,Tarauacá,120060
AL,Região 01,Atalaia,270040
AL,Região 01,Barra de Santo Antônio,270050
AL,Região 01,Barra de São Miguel,270060
AL,Região 01,Cajueiro,270130
AL,Região 01,Capela,270170
AL,Região 01,Chã Preta,270190
AL,Região 01,Coqueiro Seco,270220
AL,Região 01,Jacuípe,270350
AL,Região 01,Japaratinga,270360
AL,Região 01,Maceió,270430
AL,Região 01,Maragogi,270450
AL,Região 01,Marechal Deodoro,270470
AL,Região 01,Matriz de Camaragibe,270510
AL,Região 01,Messias,270520
AL,Região 01,Paripueira,270644
AL,Região 01,Passo de Camaragibe,270650
AL,Região 01,Paulo Jacinto,270660
AL,Região 01,Pilar,270690
AL,Região 01,Pindoba,270700
AL,Região 01,Porto Calvo,270730
AL,Região 01,Porto de Pedras,270740
AL,Região 01,Rio Largo,270770
AL,Região 01,Santa Luzia do Norte,270790
AL,Região 01,São Luís do Quitunde,270850
AL,Região 01,São Miguel dos Milagres,270870
AL,Região 01,Satuba,270890
AL,Região 01,Viçosa,270940
AL,Região 02,Anadia,270020
AL,Região 02,Boca da Mata,270100
AL,Região 02,Campo Alegre,270140
AL,Região 02,Coruripe,270230
AL,Região 02,Feliz Deserto,270270
AL,Região 02,Igreja Nova,270320
AL,Região 02,Jequiá da Praia,270375
AL,Região 02,Junqueiro,270400
AL,Região 02,Penedo,270670
AL,Região 02,Piaçabuçu,270680
AL,Região 02,Porto Real do Colégio,270750
AL,Região 02,Roteiro,270780
AL,Região 02,São Brás,270820
AL,Região 02,São Miguel dos Campos,270860
AL,Região 02,Teotônio Vilela,270915
AL,Região 03,Água Branca,270010
AL,Região 03,Batalha,270070
AL,Região 03,Belo Monte,270090
AL,Região 03,Canapi,270160
AL,Região 03,Carneiros,270180
AL,Região 03,Delmiro Gouveia,270240
AL,Região 03,Dois Riachos,270250
AL,Região 03,Inhapi,270330
AL,Região 03,Jacaré dos Homens,270340
AL,Região 03,Maravilha,270460
AL,Região 03,Mata Grande,270500
AL,Região 03,Monteirópolis,270540
AL,Região 03,Olho d'Água das Flores,270570
AL,Região 03,Olho d'Água do Casado,270580
AL,Região 03,Olivença,270600
AL,Região 03,Ouro Branco,270610
AL,Região 03,Palestina,270620
AL,Região 03,Pão de Açúcar,270640
AL,Região 03,Pariconha,270642
AL,Região 03,Piranhas,270710
AL,Região 03,Poço das Trincheiras,270720
AL,Região 03,Santana do Ipanema,270800
AL,Região 03,São José da Tapera,270840
AL,Região 03,Senador Rui Palmeira,270895
AL,Região 04,Arapiraca,270030
AL,Região 04,Belém,270080
AL,Região 04,Cacimbinhas,270120
AL,Região 04,Campo Grande,270150
AL,Região 04,Coité do Nóia,270200
AL,Região 04,Craíbas,270235
AL,Região 04,Estrela de Alagoas,270255
AL,Região 04,Feira Grande,270260
AL,Região 04,Girau do Ponciano,270290
AL,Região 04,Igaci,270310
AL,Região 04,Jaramataia,270370
AL,Região 04,Lagoa da Canoa,270410
AL,Região 04,Limoeiro de Anadia,270420
AL,Região 04,Major Isidoro,270440
AL,Região 04,Mar Vermelho,270490
AL,Região 04,Maribondo,270480
AL,Região 04,Minador do Negrão,270530
AL,Região 04,Olho d'Água Grande,270590
AL,Região 04,Palmeira dos Índios,270630
AL,Região 04,Quebrangulo,270760
AL,Região 04,São Sebastião,270880
AL,Região 04,Tanque d'Arca,270900
AL,Região 04,Taquarana,270910
AL,Região 04,Traipu,270920
AL,Região 05,Branquinha,270110
AL,Região 05,Campestre,270135
AL,Região 05,Colônia Leopoldina,270210
AL,Região 05,Flexeiras,270280
AL,Região 05,Ibateguara,270300
AL,Região 05,Joaquim Gomes,270380
AL,Região 05,Jundiá,270390
AL,Região 05,Murici,270550
AL,Região 05,Novo Lino,270560
AL,Região 05,Santana do Mundaú,270810
AL,Região 05,São José da Laje,270830
AL,Região 05,União dos Palmares,270930
AM,Alto Solimões,Amaturá,130006
AM,Alto Solimões,Atalaia do Norte,130020
AM,Alto Solimões,Benjamin Constant,130060
AM,Alto Solimões,Santo Antônio do Içá,130370
AM,Alto Solimões,São Paulo de Olivença,130390
AM,Alto Solimões,Tabatinga,130406
AM,Alto Solimões,Tonantins,130423
AM,Amazonas,Apuí,130014
AM,Amazonas,Barcelos,130040
AM,Amazonas,Boca do Acre,130070
AM,Amazonas,Borba,130080
AM,Amazonas,Canutama,130090
AM,Amazonas,Coari,130120
AM,Amazonas,Codajás,130130
AM,Amazonas,Guajará,130165
AM,Amazonas,Humaitá,130170
AM,Amazonas,Ipixuna,130180
AM,Amazonas,Lábrea,130240
AM,Amazonas,Manicoré,130270
AM,Amazonas,Novo Aripuanã,130330
AM,Amazonas,Pauini,130350
AM,Amazonas,Santa Isabel do Rio Negro,130360
AM,Amazonas,São Gabriel da Cachoeira,130380
AM,Amazonas,Tapauá,130410
AM,Baixo Amazonas,Barreirinha,130050
AM,Baixo Amazonas,Boa Vista do Ramos,130068
AM,Baixo Amazonas,Maués,130290
AM,Baixo Amazonas,Nhamundá,130300
AM,Baixo Amazonas,Parintins,130340
AM,Entorno de Manaus,Autazes,130030
AM,Entorno de Manaus,Careiro,130110
AM,Entorno de Manaus,Careiro da Várzea,130115
AM,Entorno de Manaus,Iranduba,130185
AM,Entorno de Manaus,Manaquiri,130255
AM,Entorno de Manaus,Manaus,130260
AM,Entorno de Manaus,Nova Olinda do Norte,130310
AM,Entorno de Manaus,Presidente Figueiredo,130353
AM,Entorno de Manaus,Rio Preto da Eva,130356
AM,Médio Amazonas,Itacoatiara,130190
AM,Médio Amazonas,Itapiranga,130200
AM,Médio Amazonas,São Sebastião do Uatumã,130395
AM,Médio Amazonas,Silves,130400
AM,Médio Amazonas,Urucará,130430
AM,Médio Amazonas,Urucurituba,130440
AM,Rio Negro e Solimões,Anamã,130008
AM,Rio Negro e Solimões,Anori,130010
AM,Rio Negro e Solimões,Beruri,130063
AM,Rio Negro e Solimões,Caapiranga,130083
AM,Rio Negro e Solimões,Manacapuru,130250
AM,Rio Negro e Solimões,Novo Airão,130320
AM,Triângulo,Alvarães,130002
AM,Triângulo,Carauari,130100
AM,Triângulo,Eirunepé,130140
AM,Triângulo,Envira,130150
AM,Triângulo,Fonte Boa,130160
AM,Triângulo,Itamarati,130195
AM,Triângulo,Japurá,130210
AM,Triângulo,Juruá,130220
AM,Triângulo,Jutaí,130230
AM,Triângulo,Maraã,130280
AM,Triângulo,Tefé,130420
AM,Triângulo,Uarini,130426
AP,I Regional de Saúde,Cutias,160021
AP,I Regional de Saúde,Ferreira Gomes,160023
AP,I Regional de Saúde,Itaubal,160025
AP,I Regional de Saúde,Laranjal do Jari,160027
AP,I Regional de Saúde,Macapá,160030
AP,I Regional de Saúde,Mazagão,160040
AP,I Regional de Saúde,Oiapoque,160050
AP,I Regional de Saúde,Pedra Branca do Amapari,160015
AP,I Regional de Saúde,Porto Grande,160053
AP,I Regional de Saúde,Santana,160060
AP,I Regional de Saúde,Serra do Navio,160005
AP,I Regional de Saúde,Vitória do Jari,160080
AP,II Regional de Saúde,Amapá,160010
AP,II Regional de Saúde,Calçoene,160020
AP,II Regional de Saúde,Pracuúba,160055
AP,II Regional de Saúde,Tartarugalzinho,160070
BA,Alagoinhas,Acajutiba,290030
BA,Alagoinhas,Alagoinhas,290070
BA,Alagoinhas,Aporá,290190
BA,Alagoinhas,Araças,290205
BA,Alagoinhas,Aramari,290220
BA,Alagoinhas,Cardeal da Silva,290700
BA,Alagoinhas,Catu,290750
BA,Alagoinhas,Crisópolis,290960
BA,Alagoinhas,Entre Rios,291050
BA,Alagoinhas,Esplanada,291060
BA,Alagoinhas,Inhambupe,291370
BA,Alagoinhas,Itanagra,291590
BA,Alagoinhas,Itapicuru,291650
BA,Alagoinhas,Jandaíra,291790
BA,Alagoinhas,Ouriçangas,292330
BA,Alagoinhas,Pedrão,292410
BA,Alagoinhas,Rio Real,292700
BA,Alagoinhas,Sátiro Dias,292970
BA,Amargosa,Amargosa,290100
BA,Amargosa,Elísio Medrado,291030
BA,Amargosa,Itatim,291685
BA,Amargosa,Jiquiriçá,291820
BA,Amargosa,Laje,291880
BA,Amargosa,Milagres,292130
BA,Amargosa,Mutuípe,292240
BA,Amargosa,Nova Itarana,292280
BA,Amargosa,São Miguel das Matas,292940
BA,Amargosa,Ubaíra,293210
BA,Barreiras,Angical,290140
BA,Barreiras,Baianópolis,290250
BA,Barreiras,Barreiras,290320
BA,Barreiras,Brejolândia,290440
BA,Barreiras,Catolândia,290740
BA,Barreiras,Cotegipe,290940
BA,Barreiras,Cristópolis,290970
BA,Barreiras,Formosa do Rio Preto,291110
BA,Barreiras,Luís Eduardo Magalhães,291955
BA,Barreiras,Mansidão,292045
BA,Barreiras,Riachão das Neves,292620
BA,Barreiras,Santa Rita de Cássia,292840
BA,Barreiras,São Desidério,292890
BA,Barreiras,Tabocas do Brejo Velho,293090
BA,Barreiras,Wanderley,293345
BA,Boquira,Boquira,290410
BA,Boquira,Botuporã,290420
BA,Boquira,Caturama,290755
BA,Boquira,Érico Cardoso,290050
BA,Boquira,Ibipitanga,291250
BA,Boquira,Macaúbas,291980
BA,Boquira,Paramirim,292360
BA,Boquira,Rio do Pires,292690
BA,Brumado,Aracatu,290200
BA,Brumado,Barra da Estiva,290280
BA,Brumado,Brumado,290460
BA,Brumado,Contendas do Sincorá,290880
BA,Brumado,Dom Basílio,291010
BA,Brumado,Guajeru,291165
BA,Brumado,Ibicoara,291220
BA,Brumado,Ituaçu,291720
BA,Brumado,Jussiape,291860
BA,Brumado,Livramento de Nossa Senhora,291950
BA,Brumado,Malhada de Pedras,292030
BA,Brumado,Rio de Contas,292670
BA,Brumado,Tanhaçu,293100
BA,Caetité,Caculé,290500
BA,Caetité,Caetité,290520
BA,Caetité,Ibiassucê,291200
BA,Caetité,Igaporã,291340
BA,Caetité,Jacaraci,291740
BA,Caetité,Lagoa Real,291875
BA,Caetité,Licínio de Almeida,291940
BA,Caetité,Mortugaba,292180
BA,Caetité,Riacho de Santana,292640
BA,Caetité,Rio do Antônio,292680
BA,Caetité,Tanque Novo,293105
BA,Cícero Dantas,Adustina,290035
BA,Cícero Dantas,Antas,290160
BA,Cícero Dantas,Banzaê,290265
BA,Cícero Dantas,Cícero Dantas,290780
BA,Cícero Dantas,Cipó,290790
BA,Cícero Dantas,Coronel João Sá,290920
BA,Cícero Dantas,Fátima,291075
BA,Cícero Dantas,Heliópolis,291185
BA,Cícero Dantas,Nova Soure,292290
BA,Cícero Dantas,Novo Triunfo,292305
BA,Cícero Dantas,Olindina,292310
BA,Cícero Dantas,Paripiranga,292380
BA,Cícero Dantas,Ribeira do Amparo,292650
BA,Cícero Dantas,Ribeira do Pombal,292660
BA,Cícero Dantas,Sítio do Quinto,293076
BA,Cruz das Almas,Cabaceiras do Paraguaçu,290485
BA,Cruz das Almas,Cachoeira,290490
BA,Cruz das Almas,Conceição da Feira,290820
BA,Cruz das Almas,Cruz das Almas,290980
BA,Cruz das Almas,Governador Mangabeira,291160
BA,Cruz das Almas,Maragogipe,292060
BA,Cruz das Almas,Muritiba,292230
BA,Cruz das Almas,São Félix,292900
BA,Cruz das Almas,Sapeaçu,292960
BA,Eunápolis,Belmonte,290340
BA,Eunápolis,Eunápolis,291072
BA,Eunápolis,Guaratinga,291180
BA,Eunápolis,Itabela,291465
BA,Eunápolis,Itagimirim,291530
BA,Eunápolis,Itapebi,291630
BA,Eunápolis,Porto Seguro,292530
BA,Eunápolis,Santa Cruz Cabrália,292770
BA,Feira de Santana,Amélia Rodrigues,290110
BA,Feira de Santana,Anguera,290150
BA,Feira de Santana,Antônio Cardoso,290170
BA,Feira de Santana,Candeal,290640
BA,Feira de Santana,Conceição do Jacuípe,290850
BA,Feira de Santana,Coração de Maria,290890
BA,Feira de Santana,Feira de Santana,291080
BA,Feira de Santana,Ichu,291330
BA,Feira de Santana,Ipecaetá,291380
BA,Feira de Santana,Ipirá,291400
BA,Feira de Santana,Irará,291450
BA,Feira de Santana,Pintadas,292465
BA,Feira de Santana,Rafael Jambeiro,292595
BA,Feira de Santana,Riachão do Jacuípe,292630
BA,Feira de Santana,Santa Bárbara,292750
BA,Feira de Santana,Santanópolis,292830
BA,Feira de Santana,Santo Estêvão,292880
BA,Feira de Santana,São Gonçalo dos Campos,292930
BA,Feira de Santana,Serra Preta,293040
BA,Feira de Santana,Tanquinho,293110
BA,Feira de Santana,Teodoro Sampaio,293140
BA,Feira de Santana,Terra Nova,293170
BA,Gandu,Cairu,290540
BA,Gandu,Camamu,290580
BA,Gandu,Gandu,291120
BA,Gandu,Igrapiúna,291345
BA,Gandu,Ituberá,291730
BA,Gandu,Maraú,292070
BA,Gandu,Nilo Peçanha,292260
BA,Gandu,Nova Ibiá,292275
BA,Gandu,Piraí do Norte,292467
BA,Gandu,Taperoá,293120
BA,Gandu,Teolândia,293160
BA,Gandu,Valença,293290
BA,Gandu,Wenceslau Guimarães,293350
BA,Guanambi,Candiba,290660
BA,Guanambi,Carinhanha,290710
BA,Guanambi,Guanambi,291170
BA,Guanambi,Iuiú,291733
BA,Guanambi,Malhada,292020
BA,Guanambi,Matina,292105
BA,Guanambi,Palmas de Monte Alto,292340
BA,Guanambi,Pindaí,292450
BA,Guanambi,Sebastião Laranjeiras,293000
BA,Guanambi,Urandi,293260
